callsign,frequency,city,state,lat,lon,facility_id,mlb,format,slogan,erp,market,population,band
KATO,1230,SAFFORD,AZ,32.8295,109.75508333333333,40914,Diamondbacks,News,''Newstalk 1230'',1.0,,,AM
KCYK,1400,YUMA,AZ,32.65172222222222,114.65105555555556,39616,Diamondbacks,Country,Outlaw Country 1400,1.0,,,AM
KCYK,1400,YUMA,AZ,32.65172222222222,114.65105555555556,39616,Diamondbacks,Country,Outlaw Country 1400,1.0,,,AM
KQNA,1130,PRESCOTT VALLEY,AZ,34.629472222222226,112.31683333333334,53415,Diamondbacks,News/Talk,KQNA 1130 AM  95.5FM  99.9FM,0.004,,,AM
KQNA,1130,PRESCOTT VALLEY,AZ,34.629472222222226,112.31683333333334,53415,Diamondbacks,News/Talk,KQNA 1130 AM  95.5FM  99.9FM,1.0,,,AM
KRVZ,1400,SPRINGERVILLE,AZ,34.13811111111111,109.27147222222222,17390,Diamondbacks,News/Talk,Round Valley's Own,1.0,,,AM
KRVZ,1400,SPRINGERVILLE,AZ,34.13811111111111,109.27147222222222,17390,Diamondbacks,News/Talk,Round Valley's Own,1.0,,,AM
KVNA,600,FLAGSTAFF,AZ,35.190555555555555,111.67766666666667,68567,Diamondbacks,Adult Alternative,100.ONE,1.0,,,AM
KVNA,600,FLAGSTAFF,AZ,35.190555555555555,111.67766666666667,68567,Diamondbacks,Adult Alternative,100.ONE,0.07,,,AM
XHVSS-FM,101.1,HERMOSILLO,SON,29.063333333333333,110.93805555555556,0,Diamondbacks,Regional Mexican,KE BUENA,6.5,,,FM
XHIQ-FM,102.5,CD. OBREGÓN,SON,27.49277777777778,109.94568055555555,0,Diamondbacks,Hot AC,TOÑO,25.0,,,FM
XHCNE-FM,104.7,CANANEA,SON,30.982499999999998,110.2925,0,Diamondbacks,Hot AC,TOÑO 104.7,15.0,,,FM
K232EI,94.3,LAKE HAVASU CITY,AZ,34.55,114.19466666666668,150990,Diamondbacks,Sports,SPORTS 980,0.25,,,FM
K236BH,95.1,KINGMAN,AZ,35.11027777777778,113.88272222222221,71156,Diamondbacks,Oldies,ROUTE 66 GOOD TIME OLDIES KZKE,0.01,,,FM
K238CB,95.5,PRESCOTT,AZ,34.687416666666664,112.11772222222221,140798,Diamondbacks,News/Talk,KQNA 1130 AM  95.5FM  99.9FM,0.25,,,FM
K245BL,96.9,DESERT CENTER,CA,33.65613888888889,115.45330555555556,143730,Diamondbacks,Sports,SPORTS 980,0.01,,,FM
K256DK,99.1,PHOENIX,AZ,33.49263888888889,111.64066666666668,155722,Diamondbacks,Country,THE BULL,0.25,Phoenix,"3,779,500",FM
K260BL,99.9,PRESCOTT,AZ,34.49005555555556,112.53388888888888,142731,Diamondbacks,News/Talk,KQNA 1130 AM  95.5FM  99.9FM,0.082,,,FM
K264DE,100.7,RANCHO VISTA,AZ,34.54083333333333,112.42861111111111,142761,Diamondbacks,Country,HOMETOWN CATTLE COUNTRY,0.075,,,FM
K273BS,102.5,SHOW LOW,AZ,34.130583333333334,109.94786111111111,155953,Diamondbacks,Talk/Sports,I TALK 106 POINT 7,0.095,,,FM
K284BO,104.7,FLAGSTAFF,AZ,35.24055555555556,111.59822222222222,51645,Diamondbacks,Sports,ESPN 104.7 FM,0.25,,,FM
K285DL,104.9,TUCSON,AZ,32.28980555555555,111.01897222222222,64688,Diamondbacks,Sports,THE FAN,0.231,Tucson,"882,500",FM
K293DA,106.5,SEDONA,AZ,34.86083333333333,111.82027777777778,202336,Diamondbacks,Talk/Sports,AM 780 KAZM,0.17,,,FM
KDDL,94.3,CHINO VALLEY,AZ,34.825583333333334,112.56988888888888,109,Diamondbacks,Country,HOMETOWN CATTLE COUNTRY,4.1,,,FM
KMVP-FM,98.7,PHOENIX,AZ,33.33283333333333,112.06402777777778,52514,Diamondbacks,Sports,ARIZONA SPORTS 98.7,100.0,Phoenix,"3,779,500",FM
KNKI,106.7,PINETOP,AZ,34.251694444444446,109.58563888888888,78413,Diamondbacks,Talk/Sports,I TALK 106 POINT 7,65.0,,,FM
KNMZ,103.7,ALAMOGORDO,NM,32.89219444444444,105.94552777777778,14030,Diamondbacks,Classic Rock,STEALTH ROCK 103.7,6.0,,,FM
KZKE,103.3,SELIGMAN,AZ,35.324444444444445,112.76516666666667,56339,Diamondbacks,Oldies,ROUTE 66 GOOD TIME OLDIES KZKE,7.7,,,FM
KZUA,92.1,HOLBROOK,AZ,34.92030555555555,110.13205555555555,47886,Diamondbacks,Country,Z-92,100.0,,,FM
